Tempo(s)	Deformao(mm)	Fora(N)
3,0667 	0,29803 	2923,2 
3,0833 	0,29967 	2948,8 
3,1000 	0,30139 	2971,2 
3,1167 	0,30312 	2996,9 
3,1333 	0,30476 	3025,7 
3,1500 	0,30623 	3054,6 
3,1667 	0,30795 	3077,0 
3,1833 	0,30977 	3102,7 
3,2000 	0,31141 	3128,3 
3,2167 	0,31287 	3153,9 
3,2333 	0,31469 	3176,4 
3,2500 	0,31650 	3202,0 
3,2667 	0,31822 	3227,7 
3,2833 	0,31978 	3256,5 
3,3000 	0,32142 	3278,9 
3,3167 	0,32314 	3301,4 
3,3500 	0,32642 	3352,7 
3,3667 	0,32798 	3378,3 
3,3833 	0,32962 	3403,9 
3,4000 	0,33143 	3429,6 
3,4167 	0,33307 	3458,4 
3,4333 	0,33454 	3490,5 
3,4500 	0,33626 	3516,1 
3,4833 	0,33980 	3567,4 
3,5000 	0,34136 	3596,3 
3,5167 	0,34300 	3621,9 
3,5333 	0,34472 	3647,5 
3,5500 	0,34645 	3673,2 
3,5667 	0,34800 	3705,2 
3,5833 	0,34956 	3730,9 
3,6000 	0,35137 	3756,5 
3,6167 	0,35309 	3782,2 
3,6333 	0,35473 	3814,2 
3,6500 	0,35620 	3839,9 
3,6667 	0,35801 	3865,5 
3,7000 	0,36147 	3916,8 
3,7167 	0,36302 	3945,6 
3,7500 	0,36647 	3993,7 
3,7833 	0,36975 	4045,0 
3,8000 	0,37131 	4073,8 
3,8167 	0,37295 	4099,5 
3,8333 	0,37476 	4128,3 
3,8667 	0,37787 	4189,2 
3,9000 	0,38149 	4240,5 
3,9333 	0,38468 	4298,2 
3,9667 	0,38814 	4349,5 
4,0000 	0,39133 	4410,4 
4,0333 	0,39470 	4464,9 
4,0667 	0,39798 	4522,6 
4,1000 	0,40134 	4573,9 
4,1333 	0,40479 	4625,1 
4,1667 	0,40799 	4679,6 
4,2000 	0,41144 	4734,1 
4,2333 	0,41455 	4788,6 
4,2667 	0,41809 	4839,9 
4,2833 	0,41964 	4871,9 
4,3167 	0,42292 	4926,4 
4,3500 	0,42646 	4984,1 
4,3833 	0,42965 	5038,6 
4,4167 	0,43310 	5093,1 
4,4500 	0,43621 	5154,0 
4,4833 	0,43975 	5208,5 
4,5167 	0,44294 	5266,2 
4,5500 	0,44648 	5317,5 
4,5833 	0,44968 	5368,7 
4,6167 	0,45313 	5391,2 
4,6667 	0,45796 	5413,6 
4,7167 	0,46297 	5455,3 
4,7667 	0,46815 	5493,8 
4,8167 	0,47298 	5529,0 
4,8667 	0,47798 	5506,6 
4,9167 	0,48308 	5506,6 
4,9667 	0,48808 	5503,4 
5,0167 	0,49309 	5509,8 
5,0667 	0,49818 	5535,4 
5,1167 	0,50301 	5567,5 
5,1667 	0,50785 	5605,9 
5,2167 	0,51303 	5631,6 
5,2667 	0,51812 	5654,0 
5,3167 	0,52295 	5679,7 
5,3667 	0,52796 	5702,1 
5,4167 	0,53322 	5718,1 
5,4667 	0,53806 	5737,3 
5,5167 	0,54298 	5759,8 
5,5667 	0,54807 	5782,2 
5,6167 	0,55307 	5801,5 
5,6667 	0,55799 	5820,7 
5,7167 	0,56309 	5833,5 
5,7667 	0,56809 	5852,7 
5,8167 	0,57293 	5872,0 
5,8667 	0,57810 	5884,8 
5,9167 	0,58320 	5900,8 
5,9667 	0,58794 	5920,0 
6,0167 	0,59295 	5939,3 
6,0667 	0,59813 	5955,3 
6,1167 	0,60305 	5971,3 
6,1667 	0,60788 	5990,6 
6,2167 	0,61306 	6000,2 
6,2667 	0,61807 	6013,0 
6,3167 	0,62299 	6029,0 
6,3667 	0,62808 	6045,1 
6,4167 	0,63308 	6054,7 
6,4833 	0,63973 	6077,1 
6,5333 	0,64465 	6093,1 
6,5833 	0,64966 	6106,0 
6,6333 	0,65483 	6115,6 
6,7000 	0,66148 	6128,4 
6,7667 	0,66813 	6147,6 
6,8333 	0,67460 	6163,6 
6,9000 	0,68124 	6182,9 
6,9667 	0,68798 	6198,9 
7,0333 	0,69454 	6211,7 
7,1000 	0,70127 	6224,5 
7,1667 	0,70800 	6237,4 
7,2333 	0,71473 	6250,2 
7,3000 	0,72138 	6269,4 
7,3667 	0,72811 	6279,0 
7,4333 	0,73484 	6295,1 
7,5000 	0,74149 	6307,9 
7,5667 	0,74814 	6317,5 
7,6333 	0,75478 	6330,3 
7,7000 	0,76134 	6343,1 
7,7667 	0,76799 	6356,0 
7,8333 	0,77463 	6368,8 
7,9000 	0,78128 	6381,6 
7,9667 	0,78784 	6391,2 
8,0333 	0,79466 	6397,6 
8,1000 	0,80139 	6410,4 
8,1667 	0,80803 	6423,3 
8,2333 	0,81477 	6432,9 
8,3000 	0,82150 	6442,5 
8,3667 	0,82814 	6452,1 
8,4333 	0,83488 	6458,5 
8,5000 	0,84152 	6464,9 
8,5833 	0,84981 	6481,0 
8,6500 	0,85645 	6490,6 
8,7167 	0,86310 	6500,2 
8,8000 	0,87147 	6513,0 
8,8667 	0,87820 	6516,2 
8,9500 	0,88649 	6529,0 
9,0333 	0,89469 	6545,1 
9,1167 	0,90298 	6551,5 
9,2000 	0,91126 	6561,1 
9,2833 	0,91972 	6567,5 
9,3667 	0,92818 	6573,9 
9,4500 	0,93646 	6586,7 
9,5333 	0,94475 	6599,6 
9,6167 	0,95295 	6609,2 
9,7000 	0,96123 	6615,6 
9,7833 	0,96969 	6622,0 
9,8667 	0,97806 	6631,6 
9,9500 	0,98652 	6641,2 
10,033 	0,99472 	6647,6 
10,117 	1,0029 	6657,2 
10,200 	1,0114 	6663,7 
10,283 	1,0197 	6670,1 
10,367 	1,0280 	6679,7 
10,450 	1,0365 	6686,1 
10,533 	1,0447 	6692,5 
10,617 	1,0531 	6702,1 
10,700 	1,0613 	6708,5 
10,783 	1,0696 	6718,1 
10,867 	1,0781 	6718,1 
10,950 	1,0865 	6727,8 
11,050 	1,0964 	6737,4 
11,150 	1,1063 	6743,8 
11,250 	1,1165 	6750,2 
11,350 	1,1263 	6763,0 
11,450 	1,1364 	6763,0 
11,550 	1,1464 	6775,8 
11,650 	1,1563 	6785,5 
11,750 	1,1665 	6788,7 
11,850 	1,1762 	6798,3 
11,950 	1,1865 	6801,5 
12,050 	1,1963 	6817,5 
12,150 	1,2064 	6820,7 
12,250 	1,2165 	6827,1 
12,350 	1,2264 	6833,5 
12,450 	1,2364 	6839,9 
12,550 	1,2464 	6846,4 
12,650 	1,2562 	6856,0 
12,750 	1,2665 	6856,0 
12,850 	1,2764 	6868,8 
12,950 	1,2864 	6875,2 
13,050 	1,2965 	6881,6 
13,167 	1,3080 	6884,8 
13,283 	1,3197 	6897,6 
13,400 	1,3315 	6900,8 
13,517 	1,3430 	6910,5 
13,633 	1,3548 	6913,7 
13,750 	1,3664 	6923,3 
13,867 	1,3779 	6932,9 
13,983 	1,3898 	6939,3 
14,100 	1,4014 	6942,5 
14,217 	1,4129 	6958,5 
14,333 	1,4248 	6958,5 
14,450 	1,4363 	6961,7 
14,567 	1,4481 	6974,6 
14,683 	1,4598 	6977,8 
14,800 	1,4712 	6990,6 
14,917 	1,4832 	6990,6 
15,050 	1,4964 	7000,2 
15,183 	1,5097 	7006,6 
15,317 	1,5230 	7016,2 
15,450 	1,5362 	7022,6 
15,583 	1,5496 	7032,3 
15,717 	1,5630 	7038,7 
15,850 	1,5765 	7041,9 
15,983 	1,5898 	7051,5 
16,117 	1,6030 	7061,1 
16,250 	1,6163 	7064,3 
16,383 	1,6295 	7077,1 
16,517 	1,6430 	7083,5 
16,650 	1,6565 	7086,7 
16,783 	1,6698 	7096,4 
16,917 	1,6831 	7102,8 
17,050 	1,6964 	7109,2 
17,183 	1,7096 	7115,6 
17,317 	1,7229 	7125,2 
