Tempo(s)	Deformacao(mm)	Forca(N)
724,17 	6,0338 	7551,1 
724,67 	6,0377 	7547,7 
725,17 	6,0421 	7554,4 
725,67 	6,0462 	7551,1 
726,17 	6,0503 	7554,4 
726,67 	6,0545 	7557,8 
727,17 	6,0586 	7557,8 
727,67 	6,0629 	7562,9 
728,17 	6,0670 	7559,5 
728,67 	6,0712 	7562,9 
729,17 	6,0753 	7564,5 
729,67 	6,0795 	7566,2 
730,17 	6,0838 	7571,3 
730,67 	6,0879 	7567,9 
731,17 	6,0921 	7573,0 
731,67 	6,0960 	7567,9 
732,17 	6,1003 	7574,7 
732,67 	6,1045 	7578,0 
733,17 	6,1087 	7574,7 
733,67 	6,1130 	7581,4 
734,17 	6,1169 	7576,3 
734,67 	6,1213 	7584,8 
735,17 	6,1254 	7584,8 
735,67 	6,1296 	7584,8 
736,17 	6,1338 	7584,8 
736,67 	6,1378 	7586,5 
737,17 	6,1421 	7589,8 
737,67 	6,1460 	7589,8 
738,17 	6,1505 	7593,2 
738,67 	6,1545 	7593,2 
739,17 	6,1586 	7593,2 
739,67 	6,1629 	7601,6 
740,17 	6,1669 	7596,6 
740,67 	6,1713 	7599,9 
741,17 	6,1753 	7598,2 
741,67 	6,1795 	7603,3 
742,17 	6,1837 	7605,0 
742,67 	6,1877 	7605,0 
743,17 	6,1921 	7611,7 
743,67 	6,1961 	7606,7 
744,17 	6,2004 	7611,7 
744,67 	6,2044 	7610,0 
745,17 	6,2087 	7615,1 
745,67 	6,2129 	7616,8 
746,17 	6,2170 	7616,8 
746,67 	6,2213 	7620,1 
747,17 	6,2252 	7616,8 
747,67 	6,2295 	7623,5 
748,17 	6,2337 	7623,5 
748,67 	6,2379 	7623,5 
749,17 	6,2421 	7628,6 
749,67 	6,2461 	7625,2 
750,17 	6,2504 	7631,9 
750,67 	6,2545 	7631,9 
751,17 	6,2588 	7633,6 
751,67 	6,2629 	7635,3 
752,17 	6,2670 	7635,3 
752,67 	6,2712 	7638,7 
753,17 	6,2752 	7635,3 
753,67 	6,2797 	7642,0 
754,17 	6,2836 	7640,4 
754,67 	6,2878 	7642,0 
755,17 	6,2921 	7645,4 
755,67 	6,2961 	7643,7 
756,17 	6,3005 	7648,8 
756,67 	6,3045 	7648,8 
757,17 	6,3087 	7648,8 
757,67 	6,3128 	7650,5 
758,17 	6,3169 	7653,8 
758,67 	6,3213 	7657,2 
759,17 	6,3252 	7653,8 
759,67 	6,3296 	7662,3 
760,17 	6,3335 	7657,2 
760,67 	6,3378 	7662,3 
761,17 	6,3421 	7665,6 
761,67 	6,3462 	7662,3 
762,17 	6,3504 	7667,3 
762,67 	6,3543 	7663,9 
763,17 	6,3587 	7670,7 
763,67 	6,3628 	7669,0 
764,17 	6,3671 	7672,4 
764,67 	6,3712 	7675,7 
765,17 	6,3752 	7672,4 
765,67 	6,3796 	7680,8 
766,17 	6,3837 	7675,7 
766,67 	6,3879 	7679,1 
767,17 	6,3921 	7680,8 
767,67 	6,3961 	7680,8 
768,17 	6,4004 	7684,2 
768,67 	6,4044 	7684,2 
769,17 	6,4088 	7689,2 
769,67 	6,4128 	7687,5 
770,17 	6,4170 	7689,2 
770,67 	6,4211 	7692,6 
771,17 	6,4253 	7690,9 
771,67 	6,4297 	7697,6 
772,17 	6,4336 	7692,6 
772,67 	6,4379 	7697,6 
773,17 	6,4419 	7697,6 
773,67 	6,4461 	7699,3 
774,17 	6,4504 	7704,4 
774,67 	6,4544 	7701,0 
775,17 	6,4587 	7707,8 
775,67 	6,4627 	7702,7 
776,17 	6,4670 	7709,4 
776,67 	6,4713 	7711,1 
777,17 	6,4754 	7711,1 
777,67 	6,4796 	7712,8 
778,17 	6,4835 	7711,1 
778,67 	6,4878 	7717,9 
779,17 	6,4920 	7717,9 
779,67 	6,4962 	7719,5 
780,17 	6,5004 	7719,5 
780,67 	6,5044 	7719,5 
781,17 	6,5087 	7728,0 
781,67 	6,5128 	7722,9 
782,17 	6,5171 	7724,6 
782,67 	6,5212 	7728,0 
783,17 	6,5253 	7726,3 
783,67 	6,5295 	7733,0 
784,17 	6,5335 	7729,7 
784,67 	6,5379 	7736,4 
785,17 	6,5420 	7733,0 
785,67 	6,5462 	7736,4 
786,17 	6,5503 	7738,1 
786,67 	6,5545 	7739,8 
787,17 	6,5589 	7743,1 
787,67 	6,5628 	7739,8 
788,17 	6,5671 	7743,1 
788,67 	6,5710 	7743,1 
789,17 	6,5753 	7744,8 
789,67 	6,5796 	7749,9 
790,17 	6,5836 	7746,5 
790,67 	6,5880 	7753,2 
791,17 	6,5919 	7751,6 
791,67 	6,5962 	7754,9 
792,17 	6,6004 	7756,6 
792,67 	6,6045 	7756,6 
793,17 	6,6088 	7760,0 
793,67 	6,6126 	7754,9 
794,17 	6,6170 	7765,0 
794,67 	6,6211 	7761,7 
795,17 	6,6253 	7765,0 
795,67 	6,6296 	7766,7 
796,17 	6,6335 	7765,0 
796,67 	6,6379 	7771,8 
797,17 	6,6420 	7770,1 
797,67 	6,6463 	7771,8 
798,17 	6,6504 	7771,8 
798,67 	6,6545 	7773,5 
799,17 	6,6586 	7776,8 
799,67 	6,6627 	7775,1 
800,17 	6,6671 	7783,6 
800,67 	6,6711 	7778,5 
801,17 	6,6753 	7781,9 
801,67 	6,6794 	7786,9 
802,17 	6,6836 	7785,3 
802,67 	6,6880 	7790,3 
803,17 	6,6920 	7785,3 
803,67 	6,6962 	7790,3 
804,17 	6,7002 	7788,6 
804,67 	6,7045 	7792,0 
805,17 	6,7087 	7795,4 
805,67 	6,7128 	7793,7 
806,17 	6,7171 	7798,7 
806,67 	6,7210 	7793,7 
807,17 	6,7254 	7800,4 
807,67 	6,7296 	7802,1 
808,17 	6,7337 	7802,1 
808,67 	6,7380 	7803,8 
809,17 	6,7418 	7802,1 
809,67 	6,7462 	7808,8 
810,17 	6,7502 	7807,2 
810,67 	6,7545 	7810,5 
811,17 	6,7587 	7812,2 
811,67 	6,7627 	7810,5 
812,17 	6,7670 	7817,3 
812,67 	6,7711 	7813,9 
813,17 	6,7754 	7817,3 
813,67 	6,7795 	7817,3 
814,17 	6,7836 	7818,9 
814,67 	6,7878 	7820,6 
815,17 	6,7918 	7820,6 
815,67 	6,7963 	7827,4 
816,17 	6,8002 	7822,3 
816,67 	6,8045 	7829,1 
817,17 	6,8087 	7827,4 
817,67 	6,8128 	7829,1 
818,17 	6,8171 	7834,1 
818,67 	6,8211 	7830,7 
819,17 	6,8254 	7834,1 
819,67 	6,8294 	7834,1 
820,17 	6,8337 	7837,5 
820,67 	6,8378 	7839,2 
821,17 	6,8420 	7837,5 
821,67 	6,8463 	7842,5 
822,17 	6,8502 	7839,2 
822,67 	6,8546 	7847,6 
823,17 	6,8587 	7847,6 
823,67 	6,8629 	7845,9 
824,17 	6,8671 	7851,0 
824,67 	6,8711 	7845,9 
825,17 	6,8754 	7854,3 
825,67 	6,8794 	7851,0 
826,17 	6,8837 	7854,3 
826,67 	6,8878 	7856,0 
827,17 	6,8919 	7856,0 
827,67 	6,8963 	7859,4 
828,17 	6,9002 	7857,7 
828,67 	6,9046 	7862,8 
829,17 	6,9087 	7861,1 
829,67 	6,9128 	7862,8 
830,17 	6,9170 	7866,1 
830,67 	6,9210 	7864,4 
831,17 	6,9254 	7871,2 
831,67 	6,9294 	7867,8 
832,17 	6,9337 	7872,9 
832,67 	6,9378 	7872,9 
833,17 	6,9420 	7872,9 
833,67 	6,9463 	7879,6 
834,17 	6,9503 	7874,5 
834,67 	6,9546 	7879,6 
835,17 	6,9585 	7877,9 
835,67 	6,9628 	7883,0 
836,17 	6,9670 	7886,3 
836,67 	6,9711 	7883,0 
837,17 	6,9754 	7888,0 
837,67 	6,9793 	7883,0 
838,17 	6,9837 	7889,7 
838,67 	6,9878 	7891,4 
839,17 	6,9921 	7891,4 
839,67 	6,9962 	7893,1 
840,17 	7,0002 	7891,4 
840,67 	7,0046 	7898,1 
841,17 	7,0085 	7894,8 
841,67 	7,0129 	7899,8 
842,17 	7,0170 	7899,8 
842,67 	7,0211 	7899,8 
843,17 	7,0254 	7908,2 
843,67 	7,0294 	7904,9 
844,17 	7,0337 	7906,6 
844,67 	7,0378 	7904,9 
845,17 	7,0419 	7908,2 
845,67 	7,0461 	7909,9 
846,17 	7,0502 	7909,9 
846,67 	7,0546 	7916,7 
847,17 	7,0585 	7911,6 
847,67 	7,0628 	7916,7 
848,17 	7,0669 	7916,7 
848,67 	7,0712 	7918,3 
849,17 	7,0754 	7921,7 
849,67 	7,0795 	7920,0 
850,17 	7,0837 	7925,1 
850,67 	7,0876 	7920,0 
851,17 	7,0920 	7926,8 
851,67 	7,0961 	7928,5 
852,17 	7,1003 	7926,8 
852,67 	7,1046 	7933,5 
853,17 	7,1085 	7928,5 
853,67 	7,1129 	7935,2 
854,17 	7,1170 	7935,2 
854,67 	7,1212 	7935,2 
855,17 	7,1254 	7936,9 
855,67 	7,1294 	7935,2 
856,17 	7,1337 	7941,9 
856,67 	7,1377 	7938,6 
857,17 	7,1421 	7945,3 
857,67 	7,1461 	7943,6 
858,17 	7,1503 	7943,6 
858,67 	7,1546 	7948,7 
859,17 	7,1586 	7947,0 
859,67 	7,1630 	7950,4 
860,17 	7,1670 	7948,7 
860,67 	7,1712 	7950,4 
861,17 	7,1752 	7952,0 
861,67 	7,1794 	7955,4 
862,17 	7,1838 	7958,8 
862,67 	7,1877 	7953,7 
863,17 	7,1920 	7962,2 
863,67 	7,1959 	7958,8 
864,17 	7,2003 	7963,8 
864,67 	7,2046 	7967,2 
865,17 	7,2086 	7963,8 
865,67 	7,2129 	7968,9 
866,17 	7,2168 	7965,5 
866,67 	7,2211 	7970,6 
867,17 	7,2253 	7972,3 
867,67 	7,2295 	7972,3 
868,17 	7,2337 	7973,9 
868,67 	7,2377 	7972,3 
869,17 	7,2421 	7979,0 
869,67 	7,2462 	7975,6 
870,17 	7,2504 	7977,3 
870,67 	7,2546 	7980,7 
871,17 	7,2586 	7979,0 
871,67 	7,2628 	7982,4 
872,17 	7,2669 	7982,4 
872,67 	7,2712 	7985,7 
873,17 	7,2752 	7985,7 
873,67 	7,2795 	7987,4 
874,17 	7,2837 	7990,8 
874,67 	7,2878 	7989,1 
875,17 	7,2922 	7995,8 
875,67 	7,2961 	7990,8 
876,17 	7,3004 	7994,2 
876,67 	7,3044 	7995,8 
877,17 	7,3086 	7995,8 
877,67 	7,3130 	8002,6 
878,17 	7,3168 	7997,5 
878,67 	7,3212 	8002,6 
879,17 	7,3252 	8002,6 
879,67 	7,3295 	8006,0 
880,17 	7,3338 	8007,6 
880,67 	7,3378 	8006,0 
881,17 	7,3421 	8009,3 
881,67 	7,3460 	8006,0 
882,17 	7,3503 	8011,0 
882,67 	7,3544 	8014,4 
883,17 	7,3587 	8012,7 
883,67 	7,3628 	8016,1 
884,17 	7,3668 	8014,4 
884,67 	7,3712 	8024,5 
885,17 	7,3753 	8019,4 
885,67 	7,3796 	8021,1 
886,17 	7,3837 	8022,8 
886,67 	7,3877 	8021,1 
887,17 	7,3920 	8026,2 
887,67 	7,3960 	8022,8 
888,17 	7,4004 	8029,5 
888,67 	7,4044 	8026,2 
889,17 	7,4086 	8029,5 
889,67 	7,4128 	8031,2 
890,17 	7,4170 	8031,2 
890,67 	7,4213 	8034,6 
891,17 	7,4252 	8031,2 
891,67 	7,4295 	8036,3 
892,17 	7,4335 	8036,3 
892,67 	7,4378 	8038,0 
893,17 	7,4421 	8043,0 
893,67 	7,4461 	8039,6 
894,17 	7,4504 	8044,7 
894,67 	7,4543 	8043,0 
895,17 	7,4587 	8046,4 
895,67 	7,4629 	8049,8 
896,17 	7,4670 	8049,8 
896,67 	7,4713 	8051,4 
897,17 	7,4751 	8048,1 
897,67 	7,4795 	8054,8 
898,17 	7,4836 	8053,1 
898,67 	7,4878 	8054,8 
899,17 	7,4921 	8058,2 
899,67 	7,4960 	8054,8 
900,17 	7,5004 	8061,6 
900,67 	7,5045 	8059,9 
901,17 	7,5087 	8063,2 
901,67 	7,5129 	8063,2 
902,17 	7,5169 	8063,2 
902,67 	7,5211 	8066,6 
903,17 	7,5251 	8064,9 
903,67 	7,5296 	8071,7 
904,17 	7,5336 	8066,6 
904,67 	7,5378 	8071,7 
905,17 	7,5419 	8076,7 
905,67 	7,5461 	8073,3 
906,17 	7,5505 	8078,4 
906,67 	7,5545 	8073,3 
907,17 	7,5587 	8078,4 
907,67 	7,5627 	8080,1 
908,17 	7,5669 	8080,1 
908,67 	7,5712 	8083,5 
909,17 	7,5753 	8081,8 
909,67 	7,5796 	8086,8 
910,17 	7,5835 	8081,8 
910,67 	7,5879 	8088,5 
911,17 	7,5921 	8090,2 
911,67 	7,5961 	8088,5 
912,17 	7,6005 	8091,9 
912,67 	7,6043 	8088,5 
913,17 	7,6087 	8095,2 
913,67 	7,6127 	8093,6 
914,17 	7,6170 	8096,9 
914,67 	7,6212 	8098,6 
915,17 	7,6252 	8098,6 
915,67 	7,6295 	8103,7 
916,17 	7,6336 	8100,3 
916,67 	7,6379 	8103,7 
917,17 	7,6420 	8103,7 
917,67 	7,6461 	8103,7 
918,17 	7,6503 	8108,7 
918,67 	7,6543 	8107,0 
919,17 	7,6587 	8112,1 
919,67 	7,6627 	8107,0 
920,17 	7,6670 	8112,1 
920,67 	7,6711 	8112,1 
921,17 	7,6752 	8113,8 
921,67 	7,6796 	8117,1 
922,17 	7,6836 	8113,8 
922,67 	7,6879 	8118,8 
923,17 	7,6919 	8118,8 
923,67 	7,6961 	8120,5 
924,17 	7,7003 	8123,9 
924,67 	7,7044 	8120,5 
925,17 	7,7087 	8125,6 
925,67 	7,7127 	8122,2 
926,17 	7,7170 	8130,6 
926,67 	7,7212 	8130,6 
927,17 	7,7253 	8127,3 
927,67 	7,7296 	8134,0 
928,17 	7,7335 	8128,9 
928,67 	7,7379 	8135,7 
929,17 	7,7419 	8135,7 
929,67 	7,7462 	8139,1 
930,17 	7,7503 	8137,4 
930,67 	7,7543 	8139,1 
931,17 	7,7588 	8144,1 
931,67 	7,7627 	8140,7 
932,17 	7,7670 	8144,1 
932,67 	7,7711 	8142,4 
933,17 	7,7752 	8144,1 
933,67 	7,7795 	8147,5 
934,17 	7,7835 	8145,8 
934,67 	7,7879 	8152,5 
935,17 	7,7919 	8150,8 
935,67 	7,7961 	8152,5 
936,17 	7,8003 	8154,2 
936,67 	7,8045 	8154,2 
937,17 	7,8088 	8159,3 
937,67 	7,8128 	8155,9 
938,17 	7,8171 	8161,0 
938,67 	7,8210 	8157,6 
939,17 	7,8252 	8161,0 
939,67 	7,8295 	8166,0 
940,17 	7,8336 	8162,6 
940,67 	7,8379 	8166,0 
941,17 	7,8418 	8162,6 
941,67 	7,8462 	8169,4 
942,17 	7,8503 	8171,1 
942,67 	7,8546 	8171,1 
943,17 	7,8587 	8171,1 
943,67 	7,8627 	8169,4 
944,17 	7,8670 	8176,1 
944,67 	7,8710 	8174,4 
945,17 	7,8754 	8176,1 
945,67 	7,8794 	8177,8 
946,17 	7,8836 	8177,8 
946,67 	7,8879 	8186,2 
947,17 	7,8918 	8179,5 
947,67 	7,8962 	8182,9 
948,17 	7,9003 	8182,9 
948,67 	7,9044 	8186,2 
949,17 	7,9086 	8187,9 
949,67 	7,9126 	8184,5 
950,17 	7,9170 	8193,0 
950,67 	7,9210 	8187,9 
951,17 	7,9253 	8193,0 
951,67 	7,9294 	8193,0 
952,17 	7,9336 	8194,6 
952,67 	7,9379 	8198,0 
953,17 	7,9419 	8194,6 
953,67 	7,9462 	8198,0 
954,17 	7,9502 	8198,0 
954,67 	7,9544 	8201,4 
955,17 	7,9586 	8203,1 
955,67 	7,9627 	8201,4 
956,17 	7,9671 	8208,1 
956,67 	7,9710 	8203,1 
957,17 	7,9754 	8208,1 
957,67 	7,9795 	8208,1 
958,17 	7,9837 	8209,8 
958,67 	7,9878 	8211,5 
959,17 	7,9919 	8209,8 
959,67 	7,9962 	8216,5 
960,17 	8,0002 	8211,5 
960,67 	8,0046 	8218,2 
961,17 	8,0086 	8216,5 
961,67 	8,0127 	8216,5 
962,17 	8,0171 	8223,3 
962,67 	8,0210 	8218,2 
963,17 	8,0254 	8223,3 
963,67 	8,0295 	8223,3 
964,17 	8,0336 	8223,3 
964,67 	8,0377 	8225,0 
965,17 	8,0418 	8226,7 
965,67 	8,0462 	8231,7 
966,17 	8,0501 	8226,7 
966,67 	8,0545 	8233,4 
967,17 	8,0584 	8231,7 
967,67 	8,0627 	8235,1 
968,17 	8,0671 	8238,5 
968,67 	8,0711 	8233,4 
969,17 	8,0753 	8238,5 
969,67 	8,0793 	8236,8 
970,17 	8,0836 	8240,1 
970,67 	8,0878 	8241,8 
971,17 	8,0920 	8241,8 
971,67 	8,0962 	8245,2 
972,17 	8,1001 	8241,8 
972,67 	8,1045 	8248,6 
973,17 	8,1087 	8246,9 
973,67 	8,1129 	8248,6 
974,17 	8,1171 	8251,9 
974,67 	8,1210 	8248,6 
975,17 	8,1253 	8253,6 
975,67 	8,1294 	8251,9 
976,17 	8,1337 	8255,3 
976,67 	8,1377 	8255,3 
977,17 	8,1419 	8255,3 
977,67 	8,1461 	8258,7 
978,17 	8,1502 	8258,7 
978,67 	8,1546 	8263,7 
979,17 	8,1586 	8260,4 
979,67 	8,1629 	8262,0 
980,17 	8,1669 	8265,4 
980,67 	8,1710 	8263,7 
981,17 	8,1754 	8270,5 
981,67 	8,1793 	8265,4 
982,17 	8,1837 	8270,5 
982,67 	8,1877 	8268,8 
983,17 	8,1919 	8270,5 
983,67 	8,1963 	8275,5 
984,17 	8,2002 	8272,1 
984,67 	8,2045 	8275,5 
985,17 	8,2084 	8272,1 
985,67 	8,2127 	8277,2 
986,17 	8,2170 	8280,6 
986,67 	8,2211 	8278,9 
987,17 	8,2253 	8280,6 
987,67 	8,2293 	8280,6 
988,17 	8,2337 	8289,0 
988,67 	8,2378 	8283,9 
989,17 	8,2420 	8285,6 
989,67 	8,2462 	8289,0 
990,17 	8,2501 	8285,6 
990,67 	8,2545 	8292,4 
991,17 	8,2585 	8287,3 
991,67 	8,2628 	8294,0 
992,17 	8,2669 	8292,4 
992,67 	8,2711 	8294,0 
993,17 	8,2753 	8295,7 
993,67 	8,2794 	8295,7 
994,17 	8,2838 	8300,8 
994,67 	8,2877 	8297,4 
995,17 	8,2920 	8300,8 
995,67 	8,2960 	8300,8 
996,17 	8,3002 	8302,5 
996,67 	8,3046 	8307,5 
997,17 	8,3085 	8304,2 
997,67 	8,3129 	8307,5 
998,17 	8,3168 	8305,8 
998,67 	8,3211 	8307,5 
999,17 	8,3254 	8310,9 
999,67 	8,3294 	8310,9 
1000,2 	8,3337 	8314,3 
1000,7 	8,3375 	8307,5 
1001,2 	8,3419 	8317,6 
1001,7 	8,3461 	8317,6 
1002,2 	8,3502 	8317,6 
1002,7 	8,3545 	8321,0 
1003,2 	8,3584 	8316,0 
1003,7 	8,3628 	8324,4 
1004,2 	8,3670 	8321,0 
1004,7 	8,3712 	8322,7 
1005,2 	8,3753 	8322,7 
1005,7 	8,3794 	8322,7 
1006,2 	8,3836 	8327,7 
1006,7 	8,3876 	8326,1 
1007,2 	8,3921 	8329,4 
1007,7 	8,3961 	8327,7 
1008,2 	8,4002 	8329,4 
1008,7 	8,4044 	8337,9 
1009,2 	8,4085 	8332,8 
1009,7 	8,4129 	8336,2 
1010,2 	8,4169 	8332,8 
1010,7 	8,4212 	8337,9 
1011,2 	8,4252 	8336,2 
1011,7 	8,4294 	8337,9 
1012,2 	8,4337 	8342,9 
1012,7 	8,4377 	8339,5 
1013,2 	8,4420 	8344,6 
1013,7 	8,4460 	8341,2 
1014,2 	8,4503 	8344,6 
1014,7 	8,4546 	8348,0 
1015,2 	8,4586 	8346,3 
1015,7 	8,4629 	8349,6 
1016,2 	8,4668 	8346,3 
1016,7 	8,4711 	8351,3 
1017,2 	8,4752 	8353,0 
1017,7 	8,4794 	8353,0 
1018,2 	8,4836 	8356,4 
1018,7 	8,4876 	8351,3 
1019,2 	8,4920 	8359,8 
1019,7 	8,4960 	8356,4 
1020,2 	8,5003 	8359,8 
1020,7 	8,5045 	8359,8 
1021,2 	8,5085 	8359,8 
1021,7 	8,5128 	8363,1 
1022,2 	8,5168 	8361,4 
1022,7 	8,5212 	8368,2 
1023,2 	8,5252 	8363,1 
1023,7 	8,5294 	8366,5 
1024,2 	8,5336 	8368,2 
1024,7 	8,5377 	8368,2 
1025,2 	8,5421 	8373,2 
1025,7 	8,5461 	8369,9 
1026,2 	8,5503 	8371,5 
1026,7 	8,5544 	8371,5 
1027,2 	8,5585 	8374,9 
1027,7 	8,5628 	8378,3 
1028,2 	8,5669 	8374,9 
1028,7 	8,5712 	8381,7 
1029,2 	8,5751 	8376,6 
1029,7 	8,5795 	8385,0 
1030,2 	8,5837 	8385,0 
1030,7 	8,5878 	8383,3 
1031,2 	8,5921 	8388,4 
1031,7 	8,5960 	8381,7 
1032,2 	8,6003 	8390,1 
1032,7 	8,6044 	8388,4 
1033,2 	8,6086 	8390,1 
1033,7 	8,6128 	8391,8 
1034,2 	8,6168 	8390,1 
1034,7 	8,6212 	8395,1 
1035,2 	8,6252 	8391,8 
1035,7 	8,6295 	8395,1 
1036,2 	8,6336 	8395,1 
1036,7 	8,6377 	8395,1 
1037,2 	8,6420 	8400,2 
1037,7 	8,6459 	8398,5 
1038,2 	8,6503 	8401,9 
1038,7 	8,6544 	8400,2 
1039,2 	8,6586 	8403,6 
1039,7 	8,6627 	8405,2 
1040,2 	8,6669 	8405,2 
1040,7 	8,6712 	8410,3 
1041,2 	8,6752 	8405,2 
1041,7 	8,6795 	8408,6 
1042,2 	8,6835 	8408,6 
1042,7 	8,6877 	8410,3 
1043,2 	8,6920 	8415,4 
1043,7 	8,6960 	8410,3 
1044,2 	8,7004 	8417,0 
1044,7 	8,7043 	8413,7 
1045,2 	8,7086 	8418,7 
1045,7 	8,7128 	8418,7 
1046,2 	8,7170 	8418,7 
1046,7 	8,7212 	8420,4 
1047,2 	8,7251 	8417,0 
1047,7 	8,7295 	8425,5 
1048,2 	8,7334 	8422,1 
1048,7 	8,7379 	8423,8 
1049,2 	8,7419 	8425,5 
1049,7 	8,7460 	8425,5 
1050,2 	8,7504 	8433,9 
1050,7 	8,7543 	8428,8 
1051,2 	8,7587 	8428,8 
1051,7 	8,7628 	8430,5 
1052,2 	8,7669 	8430,5 
1052,7 	8,7711 	8433,9 
1053,2 	8,7751 	8432,2 
1053,7 	8,7795 	8438,9 
1054,2 	8,7835 	8433,9 
1054,7 	8,7877 	8437,3 
1055,2 	8,7919 	8438,9 
1055,7 	8,7960 	8438,9 
1056,2 	8,8004 	8442,3 
1056,7 	8,8044 	8438,9 
1057,2 	8,8086 	8444,0 
1057,7 	8,8126 	8440,6 
1058,2 	8,8169 	8445,7 
1058,7 	8,8211 	8447,4 
1059,2 	8,8252 	8445,7 
1059,7 	8,8295 	8450,7 
1060,2 	8,8335 	8447,4 
1060,7 	8,8378 	8452,4 
1061,2 	8,8420 	8454,1 
1061,7 	8,8462 	8452,4 
1062,2 	8,8503 	8455,8 
1062,7 	8,8543 	8452,4 
1063,2 	8,8587 	8459,2 
1063,7 	8,8627 	8455,8 
1064,2 	8,8670 	8460,8 
1064,7 	8,8711 	8460,8 
1065,2 	8,8752 	8459,2 
1065,7 	8,8796 	8464,2 
1066,2 	8,8835 	8462,5 
1066,7 	8,8879 	8464,2 
1067,2 	8,8920 	8465,9 
1067,7 	8,8961 	8464,2 
1068,2 	8,9002 	8467,6 
1068,7 	8,9043 	8469,3 
1069,2 	8,9087 	8472,6 
1069,7 	8,9126 	8465,9 
1070,2 	8,9169 	8472,6 
1070,7 	8,9209 	8472,6 
1071,2 	8,9252 	8474,3 
1071,7 	8,9296 	8479,4 
1072,2 	8,9335 	8472,6 
1072,7 	8,9378 	8477,7 
1073,2 	8,9418 	8477,7 
1073,7 	8,9460 	8481,1 
1074,2 	8,9503 	8481,1 
1074,7 	8,9544 	8481,1 
1075,2 	8,9586 	8484,4 
1075,7 	8,9626 	8481,1 
1076,2 	8,9670 	8486,1 
1076,7 	8,9711 	8484,4 
1077,2 	8,9753 	8486,1 
1077,7 	8,9795 	8489,5 
1078,2 	8,9834 	8486,1 
1078,7 	8,9878 	8491,2 
1079,2 	8,9919 	8489,5 
1079,7 	8,9961 	8492,8 
1080,2 	9,0002 	8492,8 
1080,7 	9,0044 	8492,8 
1081,2 	9,0087 	8497,9 
1081,7 	9,0127 	8494,5 
1082,2 	9,0171 	8501,3 
1082,7 	9,0210 	8496,2 
1083,2 	9,0253 	8497,9 
1083,7 	9,0294 	8501,3 
1084,2 	9,0335 	8499,6 
1084,7 	9,0379 	8506,3 
1085,2 	9,0418 	8501,3 
1085,7 	9,0461 	8504,6 
1086,2 	9,0502 	8504,6 
1086,7 	9,0544 	8506,3 
1087,2 	9,0588 	8511,4 
1087,7 	9,0627 	8506,3 
1088,2 	9,0670 	8511,4 
1088,7 	9,0709 	8508,0 
1089,2 	9,0752 	8513,1 
1089,7 	9,0794 	8514,8 
1090,2 	9,0836 	8513,1 
1090,7 	9,0878 	8516,4 
1091,2 	9,0917 	8513,1 
1091,7 	9,0961 	8521,5 
1092,2 	9,1003 	8518,1 
1092,7 	9,1045 	8518,1 
1093,2 	9,1087 	8521,5 
1093,7 	9,1126 	8518,1 
1094,2 	9,1169 	8524,9 
1094,7 	9,1210 	8523,2 
1095,2 	9,1253 	8526,5 
1095,7 	9,1294 	8524,9 
1096,2 	9,1335 	8526,5 
1096,7 	9,1378 	8529,9 
1097,2 	9,1419 	8526,5 
1097,7 	9,1462 	8531,6 
1098,2 	9,1502 	8528,2 
1098,7 	9,1545 	8531,6 
1099,2 	9,1585 	8531,6 
1099,7 	9,1627 	8533,3 
1100,2 	9,1671 	8538,3 
1100,7 	9,1710 	8533,3 
1101,2 	9,1753 	8538,3 
1101,7 	9,1793 	8538,3 
1102,2 	9,1836 	8538,3 
1102,7 	9,1879 	8543,4 
1103,2 	9,1919 	8541,7 
1103,7 	9,1962 	8545,1 
1104,2 	9,2000 	8540,0 
1104,7 	9,2044 	8545,1 
1105,2 	9,2086 	8546,8 
1105,7 	9,2127 	8545,1 
1106,2 	9,2170 	8550,1 
1106,7 	9,2209 	8545,1 
1107,2 	9,2253 	8551,8 
1107,7 	9,2295 	8551,8 
1108,2 	9,2337 	8551,8 
1108,7 	9,2378 	8551,8 
1109,2 	9,2418 	8551,8 
1109,7 	9,2461 	8556,9 
1110,2 	9,2501 	8553,5 
1110,7 	9,2545 	8560,2 
1111,2 	9,2586 	8556,9 
1111,7 	9,2627 	8558,6 
1112,2 	9,2669 	8565,3 
1112,7 	9,2710 	8560,2 
1113,2 	9,2754 	8563,6 
1113,7 	9,2794 	8561,9 
1114,2 	9,2836 	8563,6 
1114,7 	9,2877 	8565,3 
1115,2 	9,2918 	8565,3 
1115,7 	9,2962 	8570,3 
1116,2 	9,3002 	8565,3 
1116,7 	9,3045 	8572,0 
1117,2 	9,3084 	8570,3 
1117,7 	9,3128 	8573,7 
1118,2 	9,3171 	8575,4 
1118,7 	9,3210 	8572,0 
1119,2 	9,3254 	8577,1 
1119,7 	9,3292 	8572,0 
1120,2 	9,3336 	8577,1 
1120,7 	9,3377 	8578,8 
1121,2 	9,3419 	8580,5 
1121,7 	9,3461 	8582,1 
1122,2 	9,3501 	8578,8 
1122,7 	9,3545 	8585,5 
1123,2 	9,3586 	8583,8 
1123,7 	9,3628 	8583,8 
1124,2 	9,3670 	8585,5 
1124,7 	9,3709 	8585,5 
1125,2 	9,3753 	8588,9 
1125,7 	9,3792 	8585,5 
1126,2 	9,3836 	8592,3 
1126,7 	9,3877 	8588,9 
1127,2 	9,3919 	8592,3 
